Project,fix-commit,fix-shortMessage,fix-date,fix-author,patch
juddi,d31740d51f06344c76f44211ec5b63655316953b,"Merge branch 'master' into feature/JUDDI-978
",2022-09-24 22:18:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/api/impl/UDDIReplicationImpl.java b/juddi-core/src/main/java/org/apache/juddi/api/impl/UDDIReplicationImpl.java
index ae25798..49dc391 100644
--- a/juddi-core/src/main/java/org/apache/juddi/api/impl/UDDIReplicationImpl.java
+++ b/juddi-core/src/main/java/org/apache/juddi/api/impl/UDDIReplicationImpl.java
@@ -1187,22 +1187,28 @@
                                         }
                                 }
                         }
-                        //dont forget this node
-                        Long id = (Long) em.createQuery(""select (e.id) from ChangeRecord e where e.nodeID = :node  order by e.id desc"")
-                                .setParameter(""node"", getNode()).setMaxResults(1).getSingleResult();
-                        if (id == null) {
-                                id = 0L;
-                        }
+                    //dont forget this node
+                        Query setMaxResults = em.createQuery(""select (e.id) from ChangeRecord e where e.nodeID = :node  order by e.id desc"")
+                                .setParameter(""node"", getNode()).setMaxResults(1);
+                        Long id =null;
+                        if (setMaxResults.getResultList().isEmpty()) {
+                            //this can happen at or near startup
+                            id = 0L;
+                        } else {
+                            id = (Long) em.createQuery(""select (e.id) from ChangeRecord e where e.nodeID = :node  order by e.id desc"")
+                                    .setParameter(""node"", getNode()).setMaxResults(1).getSingleResult();
+                        }    
                         ChangeRecordIDType x = new ChangeRecordIDType();
                         x.setNodeID(getNode());
                         x.setOriginatingUSN(id);
                         ret.add(x);
-
+                    
                         tx.rollback();
                         long procTime = System.currentTimeMillis() - startTime;
                         serviceCounter.update(ReplicationQuery.GET_HIGHWATERMARKS, QueryStatus.SUCCESS, procTime);
 
                 } catch (Exception drfm) {
+                        logger.fatal(""Error, this node is: "" + getNode(), drfm);
                         throw new FatalErrorException(new ErrorMessage(""E_fatalError"", drfm.getMessage()));
 
                 } finally {
"
juddi,d31740d51f06344c76f44211ec5b63655316953b,"Merge branch 'master' into feature/JUDDI-978
",2022-09-24 22:18:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/v3/auth/JUDDIAuthenticator.java b/juddi-core/src/main/java/org/apache/juddi/v3/auth/JUDDIAuthenticator.java
index add0e16..832953d 100644
--- a/juddi-core/src/main/java/org/apache/juddi/v3/auth/JUDDIAuthenticator.java
+++ b/juddi-core/src/main/java/org/apache/juddi/v3/auth/JUDDIAuthenticator.java
@@ -93,6 +93,11 @@
                                 tx.commit();
                         }
                         return authorizedName;
+                } catch (Exception ex) {
+                    //note: we saw an ArrayIndexOutOfBounds exception when using github actions for CI
+                    //with hibernate on derby, root cause is still tbd
+                    log.error(""error during authentication routine, could indicate a database issue"", ex);
+                    throw ex;
                 } finally {
                         if (tx.isActive()) {
                                 tx.rollback();
"
juddi,b5d853881d2133a10bb140b5d7d9174d97ca5bc6,"Merge branch 'master' into feature/JUDDI-978
",2022-05-14 20:53:36,Alex O'Ree,"diff --git a/juddi-client/src/main/java/org/apache/juddi/v3/client/cryptor/TripleDESCrytor.java b/juddi-client/src/main/java/org/apache/juddi/v3/client/cryptor/TripleDESCrytor.java
index fcd90bc..cfefef2 100644
--- a/juddi-client/src/main/java/org/apache/juddi/v3/client/cryptor/TripleDESCrytor.java
+++ b/juddi-client/src/main/java/org/apache/juddi/v3/client/cryptor/TripleDESCrytor.java
@@ -32,7 +32,9 @@
 /**
  * Triple DES, 168 bit key
  * @author <a href=""mailto:alexoree@apache.org"">Alex O'Ree</a>
+ * @deprecated use better crypto
  */
+@Deprecated
 public class TripleDESCrytor implements Cryptor {
 
     private static final String UNICODE_FORMAT = ""UTF8"";
"
juddi,b5d853881d2133a10bb140b5d7d9174d97ca5bc6,"Merge branch 'master' into feature/JUDDI-978
",2022-05-14 20:53:36,Alex O'Ree,"diff --git a/juddi-examples/more-uddi-samples/src/main/java/org/apache/juddi/samples/DES.java b/juddi-examples/more-uddi-samples/src/main/java/org/apache/juddi/samples/DES.java
index 69119b9..ecdd1fd 100644
--- a/juddi-examples/more-uddi-samples/src/main/java/org/apache/juddi/samples/DES.java
+++ b/juddi-examples/more-uddi-samples/src/main/java/org/apache/juddi/samples/DES.java
@@ -35,7 +35,9 @@
  * using 3DES
  *
  * @author <a href=""mailto:alexoree@apache.org"">Alex O'Ree</a>
+ * @deprecated  to be removed
  */
+@Deprecated
 public class DES {
 
         private static final String UNICODE_FORMAT = ""UTF8"";
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/PublisherAssertion.java b/juddi-core/src/main/java/org/apache/juddi/model/PublisherAssertion.java
index 2d5ec2f..d2dac96 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/PublisherAssertion.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/PublisherAssertion.java
@@ -37,7 +37,7 @@
  * @author <a href=""mailto:kurt@apache.org"">Kurt T Stam</a>
  */
 @Entity
-@Table(name = ""j3_publisher_assertion"")
+@Table(name = ""j3_pubassrt"")
 public class PublisherAssertion implements java.io.Serializable {
 
         private static final long serialVersionUID = -5285434317957104272L;
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfiguration.java b/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfiguration.java
index 93d0f73..1e3de5c 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfiguration.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfiguration.java
@@ -73,7 +73,7 @@
          * Gets the value of the serialNumber property.
          *
          */
-        @Column(name = ""serialnumb"")
+        @Column(name = ""serno"")
         @OrderBy(value = ""SerialNumber DESC"")
         @Id
         public Long getSerialNumber() {
@@ -206,7 +206,10 @@
         }
 
         // @OneToMany( fetch = FetchType.LAZY,targetEntity = Edge.class, mappedBy = ""Edge"")
-        @OneToMany(targetEntity = Edge.class, fetch = FetchType.LAZY, cascade = CascadeType.ALL)
+        @OneToMany(targetEntity = Edge.class, 
+                fetch = FetchType.LAZY, cascade = CascadeType.ALL
+                //mappedBy = ""j3_edge""
+                )
         public List<Edge> getEdge() {
                 return this.edge;
         }
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfigurationNode.java b/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfigurationNode.java
index e146375..7b03ffc 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfigurationNode.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/ReplicationConfigurationNode.java
@@ -37,7 +37,7 @@
         private static final long serialVersionUID = 1L;
         private Long id;
         private ReplicationConfiguration parent;
-        String rx;
+        private String rx;
 
         @Id
         @GeneratedValue(strategy = GenerationType.AUTO)
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/Signature.java b/juddi-core/src/main/java/org/apache/juddi/model/Signature.java
index 856014a..886092d 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/Signature.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/Signature.java
@@ -33,7 +33,7 @@
  *
  */
 @Entity
-@Table(name = ""j3_signature"")
+@Table(name = ""j3_sig"")
 public class Signature implements java.io.Serializable {
     private static final long serialVersionUID = -3233157941119408718L;
     
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/query/FindBusinessByDiscoveryURLQuery.java b/juddi-core/src/main/java/org/apache/juddi/query/FindBusinessByDiscoveryURLQuery.java
index b606ad4..ac85264 100644
--- a/juddi-core/src/main/java/org/apache/juddi/query/FindBusinessByDiscoveryURLQuery.java
+++ b/juddi-core/src/main/java/org/apache/juddi/query/FindBusinessByDiscoveryURLQuery.java
@@ -91,10 +91,10 @@
 			String urlValue = discURL.getValue();
 			
 			if (discURL.getUseType() == null || discURL.getUseType().length() == 0 ) {
-				qry.appendGroupedAnd(new DynamicQuery.Parameter(urlTerm, urlValue, DynamicQuery.PREDICATE_EQUALS));
+				qry.appendGroupedAnd(new DynamicQuery.Parameter(urlTerm, urlValue, DynamicQuery.PREDICATE_LIKE));
 			}
 			else {
-				qry.appendGroupedAnd(new DynamicQuery.Parameter(urlTerm, urlValue, DynamicQuery.PREDICATE_EQUALS), 
+				qry.appendGroupedAnd(new DynamicQuery.Parameter(urlTerm, urlValue, DynamicQuery.PREDICATE_LIKE), 
 									 new DynamicQuery.Parameter(entityAliasChild + "".useType"", discURL.getUseType(), DynamicQuery.PREDICATE_EQUALS));
 			}
 			
"
juddi,4d7bc5a3bf37e7d5341286432c129f8fb1a4b203,"JUDDI-1015 reduces sql identifiers for better support for both mssql and for oracledb.
JUDDI-1101 related. also resolves sql query issues for discoery url due to varchar to clob change
",2020-08-12 20:39:39,Alex O'Ree,"diff --git a/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java b/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
index d226c30..4f5a7f6 100644
--- a/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
+++ b/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
@@ -255,7 +255,6 @@
          */
         private static enum Dialect {
 
-                ORACLE(""org.hibernate.dialect.Oracle10gDialect""),
                 MYSQL(""org.hibernate.dialect.MySQLDialect""),
                 HSQL(""org.hibernate.dialect.HSQLDialect""),
                 POSTGRES(""org.hibernate.dialect.PostgreSQLDialect""),
"
juddi,7a26bedd92cff633d641118d19b5237ac8474105,"Merge branch 'master' into bug/JUDDI-1015
",2020-07-22 18:16:54,Alex O'Ree,"diff --git a/juddi-gui/src/main/java/org/apache/juddi/webconsole/PostBackConstants.java b/juddi-gui/src/main/java/org/apache/juddi/webconsole/PostBackConstants.java
index ee5afd7..5438f71 100644
--- a/juddi-gui/src/main/java/org/apache/juddi/webconsole/PostBackConstants.java
+++ b/juddi-gui/src/main/java/org/apache/juddi/webconsole/PostBackConstants.java
@@ -51,6 +51,7 @@
     public static final String EMAIL = ""Email"";
     public static final String SORTCODE = ""Sortcode"";
     public static final String KEYNAME = ""KeyName"";
+    public static final String DISPLAYNAME = ""DisplayName"";
     public static final String KEYVALUE = ""KeyValue"";
     public static final String CATBAG_KEY_REF = ""catbagkeyref"";
     public static final String IDENT_KEY_REF = ""identbagkeyref"";
"
juddi,7a26bedd92cff633d641118d19b5237ac8474105,"Merge branch 'master' into bug/JUDDI-1015
",2020-07-22 18:16:54,Alex O'Ree,"diff --git a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
index d7ec2ec..36451dd 100644
--- a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
+++ b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
@@ -1037,11 +1037,13 @@
                                         throw ex;
                                 }
                         }
-                        return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
-                             + ""<a href=\""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")
-                             + ""\"">"" + StringEscapeUtils.escapeHtml(saveService.getBusinessService().get(0).getServiceKey()) + ""</a>"";
+                    return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
+                            + "" <script type=\""text/javascript\"">window.location.href='""
+                            + StringEscapeUtils.escapeJavaScript(""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")) + ""';</script>""
+                            + ""<a href=\""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")
+                            + ""\"">"" + StringEscapeUtils.escapeHtml(saveService.getBusinessService().get(0).getServiceKey()) + ""</a>"";
                 } catch (Exception ex) {
-                        return HandleException(ex);
+                    return HandleException(ex);
                 }
         }
 
@@ -2241,7 +2243,9 @@
                                 }
                         }
                         //return ResourceLoader.GetResource(session, ""actions.saved"");
-                        return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
+                        return ResourceLoader.GetResource(session, ""actions.saved"") + 
+                                "" <script type=\""text/javascript\"">window.location.href='""+
+                                StringEscapeUtils.escapeJavaScript(""tmodelEditor.jsp?id="" + URLEncoder.encode(saveTModel.getTModel().get(0).getTModelKey(), ""UTF8"")) + ""';</script>""
                              + ""<a href=\""tmodelEditor.jsp?id="" + URLEncoder.encode(saveTModel.getTModel().get(0).getTModelKey(), ""UTF8"")
                              + ""\"">"" + StringEscapeUtils.escapeHtml(saveTModel.getTModel().get(0).getTModelKey()) + ""</a>"";
                 } catch (Exception ex) {
@@ -3953,4 +3957,14 @@
                 x.add(id.trim());
                 return deleteBinding(x);
         }
+        
+        public String getTmodelDisplayName(String id) {
+            TModel tmodel = GettModelDetailsAsObject(id);
+            if (tmodel!=null &&
+                    tmodel.getName()!=null &&
+                    tmodel.getName().getValue()!=null) {
+                return tmodel.getName().getValue();
+            }
+            return """";
+        }
 }
"
juddi,7a26bedd92cff633d641118d19b5237ac8474105,"Merge branch 'master' into bug/JUDDI-1015
",2020-07-22 18:16:54,Alex O'Ree,"diff --git a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/builders/Printers.java b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/builders/Printers.java
index 0700351..317b932 100644
--- a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/builders/Printers.java
+++ b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/builders/Printers.java
@@ -173,6 +173,7 @@
 
                 sb.append(""<table class=\""table table-hover\""><tr><th>"");
                 if (isChooser) {
+                        //for the input checkbox
                         sb.append(""</th><th>"");
                 }
                 sb.append(ResourceLoader.GetResource(session, ""items.key""))
@@ -186,7 +187,10 @@
                         if (isChooser) {
                                 sb.append(""<input class=\""modalableTmodel\"" type=checkbox id=\"""")
                                         .append(StringEscapeUtils.escapeHtml(findTModel.getTModelInfos().getTModelInfo().get(i).getTModelKey()))
-                                        .append(""\""></td><td>"");
+                                        .append(""\""   value=\"""" + 
+                                                StringEscapeUtils.escapeHtml(trunc(findTModel.getTModelInfos().getTModelInfo().get(i).getName().getValue()))
+                                                +
+                                                ""\""></td><td>"");
                         }
                         if (!isChooser) {
                                 sb.append(""<a href=\""tmodelEditor.jsp?id="")
"
juddi,ab728473c9197a48c15934bedafde537d502512d,"JUDDI-1009 reworks a number of functions in the ui related to paging operations, limits, offsets, etc. i think everything is working now. Adds some new functionality and some alt text warnings when using uddiv2 connections (offsets are not in the data model)
",2020-07-19 16:19:29,Alex O'Ree,"diff --git a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
index d7ec2ec..19ace92 100644
--- a/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
+++ b/juddi-gui/src/main/java/org/apache/juddi/webconsole/hub/UddiHub.java
@@ -1037,11 +1037,13 @@
                                         throw ex;
                                 }
                         }
-                        return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
-                             + ""<a href=\""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")
-                             + ""\"">"" + StringEscapeUtils.escapeHtml(saveService.getBusinessService().get(0).getServiceKey()) + ""</a>"";
+                    return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
+                            + "" <script type=\""text/javascript\"">window.location.href='""
+                            + StringEscapeUtils.escapeJavaScript(""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")) + ""';</script>""
+                            + ""<a href=\""serviceEditor.jsp?id="" + URLEncoder.encode(saveService.getBusinessService().get(0).getServiceKey(), ""UTF8"")
+                            + ""\"">"" + StringEscapeUtils.escapeHtml(saveService.getBusinessService().get(0).getServiceKey()) + ""</a>"";
                 } catch (Exception ex) {
-                        return HandleException(ex);
+                    return HandleException(ex);
                 }
         }
 
@@ -2241,7 +2243,9 @@
                                 }
                         }
                         //return ResourceLoader.GetResource(session, ""actions.saved"");
-                        return ResourceLoader.GetResource(session, ""actions.saved"") + "" ""
+                        return ResourceLoader.GetResource(session, ""actions.saved"") + 
+                                "" <script type=\""text/javascript\"">window.location.href='""+
+                                StringEscapeUtils.escapeJavaScript(""tmodelEditor.jsp?id="" + URLEncoder.encode(saveTModel.getTModel().get(0).getTModelKey(), ""UTF8"")) + ""';</script>""
                              + ""<a href=\""tmodelEditor.jsp?id="" + URLEncoder.encode(saveTModel.getTModel().get(0).getTModelKey(), ""UTF8"")
                              + ""\"">"" + StringEscapeUtils.escapeHtml(saveTModel.getTModel().get(0).getTModelKey()) + ""</a>"";
                 } catch (Exception ex) {
"
juddi,93f2d3693cff16e52129171368d36b2580bbbbfc,"Merge branch 'master' into bug/JUDDI-1015
",2020-07-16 21:37:36,Alex O'Ree,"diff --git a/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java b/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
index 4d0947b..183e934 100644
--- a/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
+++ b/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
@@ -766,6 +766,7 @@
                 FindBusiness r = new FindBusiness();
                 r.setCategoryBag(MapCategoryBag(body.getCategoryBag()));
                 r.setDiscoveryURLs(MapDiscoveryURLs(body.getDiscoveryURLs()));
+                r.setIdentifierBag(MapIdentBag(body.getIdentifierBag()));
                 r.setFindQualifiers(MapFindQualifiers(body.getFindQualifiers(), false));
                 r.setTModelBag(MapTModelBag(body.getTModelBag()));
                 r.setMaxRows(body.getMaxRows());
"
juddi,93f2d3693cff16e52129171368d36b2580bbbbfc,"Merge branch 'master' into bug/JUDDI-1015
",2020-07-16 21:37:36,Alex O'Ree,"diff --git a/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java b/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
index 33e922e..d226c30 100644
--- a/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
+++ b/juddi-ddl-generator/src/main/java/org/apache/juddi/ddl/generator/App.java
@@ -264,8 +264,15 @@
                 Derby(""org.hibernate.dialect.DerbyDialect""),
                 MySQLInnoDB(""org.hibernate.dialect.MySQLInnoDBDialect""),
                 Oracle9i(""org.hibernate.dialect.Oracle9iDialect""),
+                Oracle10g(""org.hibernate.dialect.Oracle10gDialect""),
+                Oracle12c(""org.hibernate.dialect.Oracle12cDialect""),
                 Sybase(""org.hibernate.dialect.SybaseDialect""),
-                MSSQL2000(""org.hibernate.dialect.SQLServerDialect"");
+                MSSQL2000(""org.hibernate.dialect.SQLServerDialect""),
+                MSSQL2005(""org.hibernate.dialect.SQLServer2005Dialect""),
+                MSSQL2008(""org.hibernate.dialect.SQLServer2008Dialect""),
+                MSSQL2012(""org.hibernate.dialect.SQLServer2012Dialect"");
+
+
                 //   MSSQL2008(""org.hibernate.dialect.SQLServer2008Dialect"");
 
                 private String dialectClass;
"
juddi,f9ca9042de955fd61e3c8edf65b6616526ca1a43,"JUDDI-1008 fix for find by ident bag via v2 findbusiness api
",2020-07-11 18:37:55,Alex O'Ree,"diff --git a/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java b/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
index 4d0947b..183e934 100644
--- a/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
+++ b/juddi-client/src/main/java/org/apache/juddi/v3/client/mapping/MapUDDIv2Tov3.java
@@ -766,6 +766,7 @@
                 FindBusiness r = new FindBusiness();
                 r.setCategoryBag(MapCategoryBag(body.getCategoryBag()));
                 r.setDiscoveryURLs(MapDiscoveryURLs(body.getDiscoveryURLs()));
+                r.setIdentifierBag(MapIdentBag(body.getIdentifierBag()));
                 r.setFindQualifiers(MapFindQualifiers(body.getFindQualifiers(), false));
                 r.setTModelBag(MapTModelBag(body.getTModelBag()));
                 r.setMaxRows(body.getMaxRows());
"
juddi,7d562f926b974d46b5e0f9e76d774a10ff9dc889,"JUDDI-1015 incomplete fix for certain columns being too long on specific database vendors (oracle in this case). this has some test failures and query issues due to the column type changes.
",2020-07-10 21:25:06,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/BindingTemplate.java b/juddi-core/src/main/java/org/apache/juddi/model/BindingTemplate.java
index eceb877..41c2cc4 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/BindingTemplate.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/BindingTemplate.java
@@ -23,6 +23,7 @@
 import javax.persistence.Entity;
 import javax.persistence.FetchType;
 import javax.persistence.JoinColumn;
+import javax.persistence.Lob;
 import javax.persistence.ManyToOne;
 import javax.persistence.OneToMany;
 import javax.persistence.OneToOne;
@@ -89,6 +90,7 @@
 		this.accessPointType = accessPointType;
 	}
 
+        @Lob
 	@Column(name = ""access_point_url"", length = 4096)
 	public String getAccessPointUrl() {
 		return this.accessPointUrl;
"
juddi,7d562f926b974d46b5e0f9e76d774a10ff9dc889,"JUDDI-1015 incomplete fix for certain columns being too long on specific database vendors (oracle in this case). this has some test failures and query issues due to the column type changes.
",2020-07-10 21:25:06,Alex O'Ree,"diff --git a/juddi-core/src/main/java/org/apache/juddi/model/DiscoveryUrl.java b/juddi-core/src/main/java/org/apache/juddi/model/DiscoveryUrl.java
index a95c619..abf5920 100644
--- a/juddi-core/src/main/java/org/apache/juddi/model/DiscoveryUrl.java
+++ b/juddi-core/src/main/java/org/apache/juddi/model/DiscoveryUrl.java
@@ -22,6 +22,7 @@
 import javax.persistence.GenerationType;
 import javax.persistence.Id;
 import javax.persistence.JoinColumn;
+import javax.persistence.Lob;
 import javax.persistence.ManyToOne;
 import javax.persistence.Table;
 
@@ -75,6 +76,7 @@
 		this.useType = useType;
 	}
 
+        @Lob
 	@Column(name = ""url"", nullable = false, length=4096)
 	public String getUrl() {
 		return this.url;
"
