Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HADOOP-803,12358081,Reducing memory consumption on Namenode : Part 1,rangadi,rangadi,Major,Closed,Fixed,08/Dec/06 00:45,08/Jul/09 16:42,
Bug,HADOOP-802,12358080,mapred.speculative.execution description in hadoop-defauls.xml is not complete,nidaley,nidaley,Trivial,Closed,Fixed,08/Dec/06 00:37,05/Jan/07 23:22,
Bug,HADOOP-795,12358050,hdfs -cp /a/b/c  /x/y    acts like   hdfs -cp /a/b/c/*   /x/y,mahadev,arkady,Minor,Resolved,Fixed,07/Dec/06 19:09,08/Jul/09 16:42,
Bug,HADOOP-794,12358046,JobTracker crashes with ArithmeticException,omalley,nidaley,Major,Closed,Fixed,07/Dec/06 18:28,08/Jul/09 16:52,
Bug,HADOOP-792,12357975,Invalid dfs -mv can trash your entire dfs,,schmed,Major,Closed,Fixed,07/Dec/06 05:27,05/Jan/07 23:22,
Bug,HADOOP-791,12357973,deadlock issue in taskstracker.,mahadev,mahadev,Major,Closed,Fixed,07/Dec/06 04:37,08/Jul/09 16:52,
Bug,HADOOP-787,12357931,job tracker should limit the number of completed/failed jobs in RAM,acmurthy,omalley,Major,Closed,Fixed,06/Dec/06 19:44,08/Jul/09 16:52,
Bug,HADOOP-786,12357879,PhasedFileSystem should use debug level log for ignored exception.,sanjay.dahiya,sanjay.dahiya,Trivial,Closed,Fixed,06/Dec/06 12:10,08/Jul/09 16:52,
Bug,HADOOP-784,12357856,In caching if localizing the cache throws out an error sometimes the task failure is not updated,mahadev,mahadev,Minor,Closed,Fixed,06/Dec/06 05:52,08/Jul/09 16:52,
Bug,HADOOP-782,12357807,"TaskTracker.java:killOverflowingTasks & TaskTracker.java:markUnresponsiveTasks only put the tip in tasksToCleanup queue, they don't update the runningJobs",acmurthy,acmurthy,Major,Closed,Fixed,05/Dec/06 18:35,08/Jul/09 16:52,
Bug,HADOOP-781,12357797,Remove from trunk things deprecated in 0.10 branch.,cutting,cutting,Major,Closed,Fixed,05/Dec/06 17:08,03/Feb/07 03:23,
Bug,HADOOP-780,12357791,ReduceTask.ValueIterator should apply job configuration to Configurable values,ab,ab,Major,Closed,Fixed,05/Dec/06 16:25,08/Jul/09 16:52,
Bug,HADOOP-779,12357720,Hadoop streaming does not work with gzipped input,hairong,hairong,Major,Closed,Fixed,04/Dec/06 23:42,08/Jul/09 17:05,
Bug,HADOOP-777,12357565,the tasktracker hostname is not fully qualified,mahadev,mahadev,Minor,Closed,Fixed,03/Dec/06 18:33,05/Jan/07 23:22,
Bug,HADOOP-776,12357549,Task failed with java.io.IOException: No valid local directories in property: dfs.client.buffer.dir,omalley,ddas,Major,Resolved,Fixed,03/Dec/06 14:22,08/Jul/09 16:52,
Bug,HADOOP-774,12357496,Datanodes fails to heartbeat when a directory with a large number of blocks is deleted,dhruba,dhruba,Major,Closed,Fixed,02/Dec/06 00:28,27/Oct/09 01:27,
Bug,HADOOP-770,12357402,"When JobTracker gets restarted, Job Tracker History doesn't show the jobs that were running. (incomplete jobs)",sanjay.dahiya,knoguchi,Minor,Closed,Fixed,30/Nov/06 21:12,08/Jul/09 16:52,
Bug,HADOOP-764,12357304,The memory consumption of processReport() in the namenode can be reduced,dhruba,dhruba,Major,Closed,Fixed,30/Nov/06 00:02,08/Jul/09 16:42,
Bug,HADOOP-761,12357238,Unit tests should cleanup created files in /tmp. It causes tests to fail if more than one users run tests on same machine.,nidaley,sanjay.dahiya,Minor,Closed,Fixed,29/Nov/06 11:59,02/Mar/07 23:02,
Bug,HADOOP-758,12357211,FileNotFound on DFS block file,rangadi,omalley,Major,Closed,Fixed,29/Nov/06 05:41,08/Jul/09 16:42,
Bug,HADOOP-757,12357210,"""Bad File Descriptor"" in closing DFS file",rangadi,omalley,Major,Closed,Fixed,29/Nov/06 05:35,08/Jul/09 16:42,
Bug,HADOOP-752,12357090,Possible locking issues in HDFS Namenode,dhruba,dhruba,Major,Closed,Fixed,28/Nov/06 05:51,08/Jul/09 16:42,
Bug,HADOOP-750,12357077,race condition on stalled map output fetches,omalley,omalley,Major,Closed,Fixed,28/Nov/06 00:30,08/Jul/09 16:52,
Bug,HADOOP-749,12357060,The jobfailures.jsp gets a NullPointerException after a task tracker has been lost,omalley,omalley,Major,Closed,Fixed,27/Nov/06 21:14,08/Jul/09 16:52,
Bug,HADOOP-748,12357057,the delete in localfilesystem traverses symlinks to delete files which is not expected,mahadev,mahadev,Minor,Closed,Fixed,27/Nov/06 21:00,15/Dec/06 23:02,
Bug,HADOOP-747,12357051,RecordIO compiler does not produce correct Java code when buffer is used as key or value in map,milindb,milindb,Major,Closed,Fixed,27/Nov/06 19:54,01/Dec/06 22:43,
