Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,JUDDI-1018,13383055,CVE-2021-37578 Apache jUDDI Remote code execution,spyhunter99,spyhunter99,Major,Closed,Fixed,09/Jun/21 22:21,28/Jul/21 22:39,
Bug,JUDDI-1015,13316261,Oracle database start up issue due to max string length,spyhunter99,spyhunter99,Major,Closed,Fixed,11/Jul/20 01:12,19/Aug/20 00:38,
Bug,JUDDI-1013,13313625,GUI adding records,spyhunter99,sluisser,Major,Closed,Fixed,26/Jun/20 14:45,19/Aug/20 00:38,
Bug,JUDDI-1011,13313622,MS SQL Server table - length of field too large,spyhunter99,sluisser,Major,Closed,Fixed,26/Jun/20 14:37,19/Aug/20 00:38,
Bug,JUDDI-1010,13313621,save_business does not properly save the accessPoint URLType when using the v2 Publish API,spyhunter99,sluisser,Major,Closed,Fixed,26/Jun/20 14:32,19/Aug/20 00:38,
Bug,JUDDI-1009,13313610,Browse Businesses using juddiv2 page navigation issue,spyhunter99,sluisser,Major,Closed,Fixed,26/Jun/20 13:58,19/Aug/20 00:38,
Bug,JUDDI-1008,13313605,find_business returns an error when querying a tModel when using the v2 Inquire API,spyhunter99,sluisser,Major,Closed,Fixed,26/Jun/20 13:41,19/Aug/20 00:38,
Bug,JUDDI-1007,13313603,Not saving an Access Point Type correctly in the database when using juddiv2,,sluisser,Major,Resolved,Fixed,26/Jun/20 13:34,04/Jul/20 03:44,
Bug,JUDDI-1006,13312929,Saving an Access Point Type,spyhunter99,spyhunter99,Minor,Closed,Fixed,23/Jun/20 00:33,19/Aug/20 00:38,
Bug,JUDDI-1005,13284961,Need To have correct options to upgrade JUDDI DB Schema,,amol_bhonsle@bmc.com,Major,Resolved,Fixed,13/Feb/20 02:36,17/Apr/22 23:26,
Bug,JUDDI-1004,13282446,JUDDI-3.3.7 With SQL Server Database Gives Primary Key Violation For Table j3_category_bag ,,amol_bhonsle@bmc.com,Major,Closed,Fixed,30/Jan/20 17:58,19/Aug/20 00:38,
Bug,JUDDI-1003,13279595,spring-web jar supplied with latest JUDDI distribution has security vulnerability,spyhunter99,amol_bhonsle@bmc.com,Major,Resolved,Fixed,15/Jan/20 13:40,07/Mar/20 19:56,
